threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives,false_positive_rate,fraud_detection_rate,total_cost
0.2,0.41832669322709165,0.7749077490774908,0.5433376455368694,292,61,210,9437,0.030013362113269607,0.7749077490774908,597
0.25,0.4776470588235294,0.7490774907749077,0.5833333333333334,222,68,203,9507,0.022818378045020044,0.7490774907749077,562
0.3,0.5286103542234333,0.7158671586715867,0.6081504702194357,173,77,194,9556,0.01778188919724535,0.7158671586715867,558
0.35,0.5936507936507937,0.6900369003690037,0.6382252559726962,128,84,187,9601,0.013156542296227773,0.6900369003690037,548
0.4,0.6425992779783394,0.6568265682656826,0.6496350364963503,99,93,178,9630,0.010175763182238668,0.6568265682656826,564
0.45,0.7012448132780082,0.6236162361623616,0.66015625,72,102,169,9657,0.0074005550416281225,0.6236162361623616,582
0.5,0.7464788732394366,0.5867158671586716,0.6570247933884298,54,112,159,9675,0.005550416281221091,0.5867158671586716,614
0.55,0.7927461139896373,0.5645756457564576,0.6594827586206896,40,118,153,9689,0.004111419467571179,0.5645756457564576,630
0.6,0.8352272727272727,0.5424354243542435,0.6577181208053692,29,124,147,9700,0.002980779113989105,0.5424354243542435,649
0.65,0.8896103896103896,0.5055350553505535,0.6447058823529411,17,134,137,9712,0.001747353273717751,0.5055350553505535,687
0.7,0.8958333333333334,0.47601476014760147,0.6216867469879518,15,142,129,9714,0.001541782300339192,0.47601476014760147,725
0.75,0.9448818897637795,0.44280442804428044,0.6030150753768844,7,151,120,9722,0.0007194984068249563,0.44280442804428044,762
0.8,0.9487179487179487,0.4095940959409594,0.5721649484536082,6,160,111,9723,0.0006167129201356768,0.4095940959409594,806
