TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain
2987000,0,86400,68.5,W,13926,,150.0,discover,142.0,credit,315.0,87.0,19.0,,
2987001,0,86401,29.0,W,2755,404.0,150.0,mastercard,102.0,credit,325.0,87.0,,gmail.com,
2987002,0,86469,59.0,W,4663,490.0,150.0,visa,166.0,debit,330.0,87.0,287.0,outlook.com,
2987003,0,86499,50.0,W,18132,567.0,150.0,mastercard,117.0,debit,476.0,87.0,,yahoo.com,
2987004,0,86506,50.0,H,4497,514.0,150.0,mastercard,102.0,credit,420.0,87.0,,gmail.com,
2987005,0,86510,49.0,W,5937,555.0,150.0,visa,226.0,debit,272.0,87.0,36.0,gmail.com,
2987006,0,86522,159.0,W,12308,360.0,150.0,visa,166.0,debit,126.0,87.0,0.0,yahoo.com,
2987007,0,86529,422.5,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,,mail.com,
2987008,0,86535,15.0,H,2803,100.0,150.0,visa,226.0,debit,337.0,87.0,,anonymous.com,
2987009,0,86536,117.0,W,17399,111.0,150.0,mastercard,224.0,debit,204.0,87.0,19.0,yahoo.com,
2987010,0,86549,75.887,C,16496,352.0,117.0,mastercard,134.0,credit,,,,gmail.com,gmail.com
2987011,0,86555,16.495,C,4461,375.0,185.0,mastercard,224.0,debit,,,,hotmail.com,hotmail.com
2987012,0,86564,50.0,W,3786,418.0,150.0,visa,226.0,debit,204.0,87.0,,verizon.net,
2987013,0,86585,40.0,W,12866,303.0,150.0,visa,226.0,debit,330.0,87.0,,aol.com,
2987014,0,86596,10.5,W,11839,490.0,150.0,visa,226.0,debit,226.0,87.0,,yahoo.com,
2987015,0,86618,57.95,W,7055,555.0,150.0,visa,226.0,debit,315.0,87.0,3.0,,
2987016,0,86620,30.0,H,1790,555.0,150.0,visa,226.0,debit,170.0,87.0,,aol.com,
2987017,0,86668,100.0,H,11492,111.0,150.0,mastercard,219.0,credit,204.0,87.0,,yahoo.com,
2987018,0,86725,47.95,W,4663,490.0,150.0,visa,166.0,debit,184.0,87.0,5.0,gmail.com,
2987019,0,86730,186.0,W,7005,111.0,150.0,visa,226.0,debit,264.0,87.0,,gmail.com,
2987020,0,86761,39.0,W,7875,314.0,150.0,mastercard,224.0,debit,299.0,87.0,0.0,gmail.com,
2987021,0,86769,159.95,W,11401,543.0,150.0,mastercard,117.0,debit,204.0,87.0,,gmail.com,
2987022,0,86786,50.0,H,1724,583.0,150.0,visa,226.0,credit,299.0,87.0,,gmail.com,
2987023,0,86808,107.95,W,2392,360.0,150.0,mastercard,166.0,debit,126.0,87.0,4.0,gmail.com,
2987024,0,86821,73.95,W,10112,360.0,150.0,visa,166.0,debit,264.0,87.0,,gmail.com,
2987025,0,86944,107.95,W,15385,111.0,150.0,mastercard,224.0,debit,441.0,87.0,,gmail.com,
2987026,0,86945,184.0,W,17868,148.0,150.0,visa,226.0,debit,472.0,87.0,,me.com,
2987027,0,86972,47.95,W,11307,321.0,150.0,visa,226.0,debit,337.0,87.0,17.0,yahoo.com,
2987028,0,86973,20.0,W,8431,269.0,150.0,mastercard,224.0,debit,251.0,87.0,,,
2987029,0,86979,36.99,W,12932,361.0,150.0,visa,226.0,debit,204.0,87.0,,gmail.com,
2987030,0,86994,35.0,W,13276,555.0,150.0,visa,226.0,debit,126.0,87.0,,gmail.com,
2987031,0,86998,363.89,W,6573,583.0,150.0,visa,226.0,credit,315.0,87.0,13.0,yahoo.com,
2987032,0,87008,200.0,W,7835,361.0,150.0,visa,226.0,debit,472.0,87.0,,yahoo.com,
2987033,0,87078,40.0,W,8613,272.0,150.0,mastercard,224.0,debit,264.0,87.0,,yahoo.com,
2987034,0,87135,107.95,W,17359,555.0,150.0,visa,226.0,debit,469.0,87.0,2.0,yahoo.com,
2987035,0,87140,107.95,W,9766,360.0,150.0,visa,226.0,debit,226.0,87.0,664.0,yahoo.com,
2987036,0,87149,77.0,W,4806,490.0,150.0,visa,226.0,debit,315.0,87.0,20.0,gmail.com,
2987037,0,87161,21.95,W,13249,111.0,150.0,visa,226.0,debit,264.0,87.0,,gmail.com,
2987038,0,87172,25.0,S,5463,399.0,150.0,american express,137.0,credit,330.0,87.0,,,gmail.com
2987039,0,87202,39.95,W,12598,111.0,150.0,visa,166.0,debit,299.0,87.0,,yahoo.com,
2987040,0,87209,75.887,C,13329,569.0,117.0,visa,226.0,credit,,,,gmail.com,gmail.com
2987041,0,87220,774.0,W,9002,453.0,150.0,visa,226.0,debit,264.0,87.0,0.0,gmail.com,
2987042,0,87233,117.0,W,13085,417.0,150.0,visa,195.0,debit,330.0,87.0,6.0,gmail.com,
2987043,0,87248,49.0,W,10776,512.0,150.0,visa,166.0,debit,420.0,87.0,0.0,gmail.com,
2987044,0,87266,39.5,W,9281,555.0,150.0,visa,195.0,debit,472.0,87.0,,gmail.com,
2987045,0,87275,36.95,W,16132,111.0,150.0,visa,226.0,debit,299.0,87.0,0.0,yahoo.com,
2987046,0,87285,49.0,W,12544,321.0,150.0,visa,226.0,debit,441.0,87.0,30.0,gmail.com,
2987047,0,87285,15.0,W,4208,490.0,150.0,visa,195.0,debit,126.0,87.0,,anonymous.com,
2987048,0,87317,42.294,C,15885,545.0,185.0,visa,138.0,debit,,,,outlook.com,outlook.com
2987049,0,87317,3.595,C,12730,266.0,185.0,mastercard,224.0,credit,,,,anonymous.com,anonymous.com
2987050,0,87319,117.0,W,10045,114.0,150.0,visa,226.0,debit,299.0,87.0,16.0,gmail.com,
2987051,0,87328,226.0,W,7835,361.0,150.0,visa,226.0,debit,472.0,87.0,80.0,yahoo.com,
2987052,0,87333,117.0,W,7826,481.0,150.0,mastercard,224.0,debit,126.0,87.0,5.0,gmail.com,
2987053,0,87349,130.95,W,18018,452.0,150.0,mastercard,117.0,debit,264.0,87.0,7.0,yahoo.com,
2987054,0,87401,34.0,W,18370,547.0,150.0,visa,226.0,debit,191.0,87.0,,gmail.com,
2987055,0,87413,210.95,W,3670,111.0,150.0,visa,226.0,debit,420.0,87.0,,gmail.com,
2987056,0,87440,500.0,W,1955,383.0,150.0,visa,226.0,debit,315.0,87.0,,,
2987057,0,87445,50.0,H,11839,490.0,150.0,visa,226.0,debit,204.0,87.0,,gmail.com,
2987058,0,87532,380.21,W,16659,170.0,150.0,visa,226.0,credit,299.0,87.0,,,
2987059,0,87557,35.95,W,9785,343.0,150.0,visa,100.0,debit,485.0,87.0,154.0,gmail.com,
2987060,0,87581,2454.0,W,2213,556.0,150.0,mastercard,224.0,debit,184.0,87.0,,hotmail.com,
2987061,0,87596,58.95,W,12544,321.0,150.0,visa,226.0,debit,441.0,87.0,16.0,gmail.com,
2987062,0,87601,200.0,W,18132,567.0,150.0,mastercard,117.0,debit,204.0,87.0,7.0,yahoo.com,
2987063,0,87604,80.0,W,17967,285.0,150.0,visa,226.0,debit,184.0,87.0,,yahoo.com,
2987064,0,87611,250.0,W,3278,453.0,150.0,visa,226.0,debit,122.0,87.0,,gmail.com,
2987065,0,87650,114.95,W,17188,321.0,150.0,visa,226.0,debit,299.0,87.0,1.0,,
2987066,0,87660,300.0,H,15333,562.0,150.0,visa,226.0,credit,315.0,87.0,,anonymous.com,
2987067,0,87664,445.0,W,1240,302.0,150.0,visa,195.0,credit,485.0,87.0,24.0,,
2987068,0,87667,3.081,C,14076,545.0,185.0,visa,147.0,credit,,,,hotmail.com,hotmail.com
2987069,0,87725,20.0,S,12866,303.0,150.0,visa,226.0,debit,330.0,87.0,,,hotmail.com
2987070,0,87735,100.0,H,3682,264.0,150.0,visa,162.0,credit,325.0,87.0,,anonymous.com,
2987071,0,87736,59.0,W,1662,111.0,150.0,visa,195.0,debit,472.0,87.0,,gmail.com,
2987072,0,87752,6.767,C,13832,375.0,185.0,mastercard,224.0,debit,,,,outlook.com,outlook.com
2987073,0,87759,554.0,W,1955,383.0,150.0,visa,226.0,debit,315.0,87.0,5.0,yahoo.com,
2987074,0,87775,27.793,C,15885,545.0,185.0,visa,138.0,debit,,,,gmail.com,gmail.com
2987075,0,87779,68.5,W,4806,490.0,150.0,visa,226.0,debit,315.0,87.0,,gmail.com,
2987076,0,87787,36.95,W,18132,567.0,150.0,mastercard,117.0,debit,441.0,87.0,1.0,,
2987077,0,87793,280.0,W,3278,453.0,150.0,visa,226.0,debit,122.0,87.0,,gmail.com,
2987078,0,87825,300.0,W,14858,558.0,150.0,visa,226.0,debit,220.0,87.0,2239.0,,
2987079,0,87839,28.699,C,4504,500.0,185.0,mastercard,219.0,credit,,,,hotmail.com,hotmail.com
